epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,65.8305,1.31537,10.4755,0.69757,1.34257,1.65632,0.97165,1,0.995,0.6965,0,0,0,0,0.96536,10.7381,0.77747,0.46947,1.17553,0.00993631,0.0033121,0.00993631,0.0033121,0.00993631,0.0033121,0.00993631,0.0033121
2,122.749,1.12552,9.77203,0.66746,0.8679,1.41023,0.96487,1,0.995,0.8955,0,0,0,0,0.73119,10.1574,0.68419,0.54853,1.18013,0.0198705,0.00662351,0.0198705,0.00662351,0.0198705,0.00662351,0.0198705,0.00662351
3,176.245,1.22419,9.20456,0.63996,0.99172,1.48104,0.9145,1,0.995,0.8955,0,0,0,0,0.65349,9.78286,0.52476,1.87523,0.96845,0.0297387,0.00991291,0.0297387,0.00991291,0.0297387,0.00991291,0.0297387,0.00991291
4,228.473,1.31161,8.81298,0.61454,1.11125,1.56293,0.6109,1,0.995,0.8955,0,0,0,0,1.00949,10.9564,0.44648,2.07538,1.00732,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,280.507,1.29647,8.26795,0.59379,1.05947,1.52829,0.91008,1,0.995,0.796,0,0,0,0,1.12696,8.22011,0.4452,1.34426,1.19745,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,332.474,1.24277,7.97261,0.58482,1.0416,1.49641,0.96223,1,0.995,0.796,0,0,0,0,1.14791,7.71292,0.5088,0.63385,1.16516,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,384.444,1.21616,7.64395,0.56046,0.97812,1.47638,0.95787,1,0.995,0.8955,0,0,0,0,0.79714,7.66935,0.41517,0.75595,1.03552,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,436.824,1.19463,7.38162,0.54247,0.96112,1.44552,0.95582,1,0.995,0.8955,0,0,0,0,0.8215,7.24669,0.38171,0.57702,1.02449,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,488.791,1.13968,7.21235,0.52604,0.89524,1.4193,0.96656,1,0.995,0.796,0,0,0,0,0.89048,6.47192,0.29552,0.59003,1.07638,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,540.802,1.12251,6.991,0.49962,0.86832,1.3989,0.96568,1,0.995,0.8955,0,0,0,0,0.47109,8.40037,0.27663,0.49713,0.9175,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,592.977,1.10815,6.8764,0.49383,0.83912,1.38782,0.92603,1,0.995,0.796,0,0,0,0,0.70163,7.92251,0.26555,0.78029,1.14849,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,644.787,1.07021,6.65201,0.48123,0.81663,1.36047,0.9672,1,0.995,0.796,0,0,0,0,0.71307,7.42001,0.21156,0.45932,0.96372,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,696.816,1.07955,6.56712,0.46594,0.81106,1.36297,0.964,1,0.995,0.8955,0,0,0,0,0.6249,7.72618,0.14941,0.4445,0.95577,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,748.706,1.05824,6.39248,0.45001,0.77655,1.34167,0.96459,1,0.995,0.796,0,0,0,0,0.65108,6.82052,0.19954,0.36137,0.97571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,800.795,1.04239,6.30649,0.45129,0.76792,1.33642,0.96616,1,0.995,0.796,0,0,0,0,0.67199,6.93827,0.10341,0.4257,0.99342,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,852.634,1.02112,6.17991,0.43191,0.74323,1.31537,0.96633,1,0.995,0.995,0,0,0,0,0.4021,8.01979,0.10087,0.35008,0.85202,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,904.573,1.01437,6.17768,0.4296,0.73887,1.31666,0.96722,1,0.995,0.796,0,0,0,0,0.89794,6.59925,0.12835,0.4696,1.04873,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,956.915,1.00595,5.99318,0.41543,0.72996,1.30419,0.95984,1,0.995,0.796,0,0,0,0,0.96658,7.49034,0.16951,0.64482,1.01996,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1009.35,0.99779,5.91733,0.41747,0.71144,1.30484,0.96961,1,0.995,0.995,0,0,0,0,0.41285,6.89412,0.12938,0.31264,0.85658,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1061.57,1.00737,5.87696,0.40706,0.71385,1.30183,0.96983,1,0.995,0.8955,0,0,0,0,0.5406,6.56353,0.12182,0.34904,0.88718,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1113.49,0.98641,5.68866,0.40161,0.69269,1.29031,0.9685,1,0.995,0.8955,0,0,0,0,0.72918,8.89649,0.11881,0.4352,1.03243,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1165.41,0.95793,5.62941,0.39595,0.67881,1.27947,0.96964,1,0.995,0.8955,0,0,0,0,0.7569,6.14518,0.08381,0.37471,1.02023,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
